brand; product_name; shipping; price
GIGABYTE;GIGABYTE AORUS GeForce GTX 1070 GV-N1070IXEB-8GD Gaming Box;$6.99 Shipping;$599.99
GIGABYTE;GIGABYTE AORUS Radeon RX 570 DirectX 12 GV-RX570AORUS-4GD 4GB 256-Bit ...;;$400.98
EVGA;EVGA GeForce GTX 1080 CLASSIFIED GAMING ACX 3.0| 08G-P4-6386-KR| 8GB GDDR5X| RGB LED| 10 CM Fan| 14 Power Phases| Double BIOS| DX12 OSD Support (PXOC);$4.99 Shipping;$609.99
MSI;MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC Video Card;$4.99 Shipping;$169.99
ASUS;ASUS ROG Strix GeForce GTX 1080 8GB 11Gbps OC Edition VR Ready HDMI DP DVI Gaming Graphics Card (ROG-STRIX-GTX1080-O8G-11GPBS);Free Shipping;$629.99
MSI;MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G OC Video Card;$3.99 Shipping;$99.99
XFX;XFX Radeon RX 460 DirectX 12 RX-460P2DFG5 Video Card;$3.99 Shipping;$119.99
ZOTAC;ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L Video Card;Free Shipping;$114.99
XFX;XFX Radeon HD 6570 DirectX 11 HD-657X-2NL2 Video Card;$3.99 Shipping;$55.99
XFX;GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-4GD 4GB 256-Bit ...;;$339.98
ASUS;ASUS Radeon RX 560 2GB OC Edition GDDR5 DP HDMI DVI AMD Graphics Card (RX560-O2G);$3.99 Shipping;$119.99
ZOTAC;ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card;$4.99 Shipping;$169.99
ZOTAC;Sapphire Radeon PULSE RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ ...;;$414.98
